galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
6374856451333030247,1237667212137857108,AIS,108,108,179.285319059941,30.3911199355778,18.1867179870605,0.074686661362648,-999,-999,0.0155586190521717
6374821222939624450,1237665370119929863,AIS,308.15,109,173.614541494274,33.1792211806006,18.8808898925781,0.0525094047188759,21.121711730957,0.394927054643631,0.0243976935744286
6374856454556352635,1237667254550724650,AIS,108,108,179.857543390876,30.2151101224298,18.6213397979736,0.0727764740586281,19.2213668823242,0.129306226968765,0.0208494495600462
6374856454556354785,1237667255087595558,AIS,108,108,179.803571068783,30.73102443404,16.6795272827148,0.0269151460379362,16.9867286682129,0.0465507954359055,0.0183291658759117
6374856454556355528,1237667212674990144,AIS,108,108,179.95690127936,30.84482583659,18.9705333709717,0.100738480687141,20.6337566375732,0.277278125286102,0.0181562937796116
6374821224013366566,1237665370119929863,AIS,266.05,104,173.614394261892,33.1791561251432,18.8327980041504,0.0599075928330421,22.0693626403809,0.512637436389923,0.0243976935744286
6374856458851322946,1237667212675514406,AIS,179.1,85.1,181.315810827499,30.855017149487,16.3040199279785,0.0171157270669937,16.8059597015381,0.0441477783024311,0.0205391049385071
3886362524342296356,1237656528919265295,MIS,945.75,0,261.033884888545,58.9952583339638,15.9028835296631,0.00831082370132208,-999,-999,0.0307581108063459
6377671231167007855,1237667536930865193,AIS,232.1,117.05,143.76435621497,18.4937801177371,16.5128421783447,0.0148505168035626,16.7231330871582,0.0367830581963062,0.0262174680829048
6377671234388230709,1237668289617920079,AIS,112,112,149.079883204851,16.8310937942226,16.5549983978271,0.0286759864538908,17.2197856903076,0.0540129840373993,0.0292568784207106
6377671239756941950,1237670965389361250,AIS,190,190,148.889553982446,16.4337043308574,16.9370231628418,0.0230252761393785,17.6850528717041,0.0506370700895786,0.0327281914651394
6374821224013368465,1237665023827116140,AIS,266.05,104,173.375484336852,33.5083368044145,17.3212738037109,0.0212391670793295,17.6201686859131,0.0595809519290924,0.0235461965203285
6377671239756943877,1237668289617920079,AIS,190,190,149.079978358645,16.8312367995336,16.4145355224609,0.0182583127170801,17.0618171691895,0.0380931086838245,0.0292568784207106
6370951040794101884,1237651226781352122,AIS,171.05,171.05,258.045487722299,61.9146908428342,17.8962154388428,0.0373938977718353,18.4467620849609,0.0666557922959328,0.0243052151054144
6374856465293774799,1237667211601969224,AIS,160,96,181.815121563738,30.0803170889617,18.1320552825928,0.0406116656959057,18.5704040527344,0.0982782766222954,0.0191711876541376
6374856466367512820,1237667324329132076,AIS,111,111,180.796791104164,28.3112186111771,18.545711517334,0.0597523041069508,19.0724658966064,0.114523351192474,0.0188269782811403
6377706356483293238,1237665127986954398,AIS,112,112,133.588474594474,23.1584158444608,17.5428943634033,0.0397872067987919,17.8316974639893,0.061816830188036,0.0290476884692907
6377706357557038094,1237665127986954398,AIS,111,111,133.58859967244,23.1585157334348,17.5377254486084,0.0391001030802727,17.8966464996338,0.0806811898946762,0.0290476884692907
6378445303456992263,1237664092364931083,AIS,199,199,136.09520183375,27.9528203091388,16.3504409790039,0.0132886348292232,-999,-999,0.0317630581557751
6374856466367512997,1237667324329328714,AIS,111,111,181.347371138872,28.3659903553997,16.9289646148682,0.0272454116493464,17.3459320068359,0.0596797950565815,0.0228226818144321
6375102740866008247,1237651065203064903,AIS,119,119,171.376292364294,63.446822089054,15.4128494262695,0.0144050698727369,15.9533023834229,0.0266790222376585,0.00976724084466696
6374750918619958264,1237662305114193923,AIS,186,186,210.104684597888,38.5203677268525,16.6608352661133,0.0199682768434286,16.9404277801514,0.0313558429479599,0.0124860117211938
6374750920767438849,1237662225685872719,AIS,190,190,207.725751855847,38.2757385676082,16.0200748443604,0.0164993796497583,16.2394886016846,0.0329746939241886,0.0203608684241772
6374856466367514089,1237667209991159899,AIS,111,111,181.302981159645,28.7823178180023,16.2411918640137,0.0244124885648489,16.6048316955566,0.0403448604047298,0.0184731520712376
6371021357998671017,1237651225710034980,AIS,94,94,259.708878798761,56.4915042166168,18.6774482727051,0.0740930810570717,18.6586666107178,0.107753373682499,0.0218251086771488
6377706373663163415,1237665098461085790,AIS,222,222,136.784608388047,25.3422540723759,16.58176612854,0.0165674928575754,17.200065612793,0.0359900370240211,0.0349014848470688
6374750920767441456,1237662226222678109,AIS,190,190,207.691954308931,38.8186623766409,18.5193023681641,0.047236293554306,19.0845336914063,0.0829202905297279,0.0249810963869095
6374856467441259021,1237667324329132076,AIS,109,109,180.796593485777,28.3110081734569,18.7427158355713,0.0700153261423111,18.9915447235107,0.151566535234451,0.0188269782811403
6375102740866008374,1237651249885610077,AIS,119,119,170.877625011267,63.3673078702549,18.4183788299561,0.0572940446436405,18.9006328582764,0.111177548766136,0.012387883849442
6374821230455816927,1237665369046777886,AIS,108,108,175.374731497659,32.3498845661992,16.9171390533447,0.0292569100856781,17.2920608520508,0.0555331259965897,0.0215566027909517
6374750920767444484,1237662305650212895,AIS,190,190,207.879597460536,39.4547181914992,18.1021404266357,0.0374456569552422,18.5031890869141,0.0638306736946106,0.0163806155323982
6374821231529558967,1237665369046777886,AIS,128,128,175.374520838772,32.3500743310847,16.9084453582764,0.0250817835330963,17.2867679595947,0.045729011297226,0.0215566027909517
6374750921839088326,1237662305649754144,AIS,111,111,206.616059253861,39.6774091579364,17.7970581054688,0.0633586049079895,-999,-999,0.0107285287231207
6377706410170385861,1237667253459812390,AIS,221,221,137.334956967161,20.6970182934583,15.6629781723022,0.0119284568354487,15.9796895980835,0.0194312166422606,0.0349044091999531
6377706412317868572,1237667292651389003,AIS,121,121,136.50128823428,18.7643186666974,18.6463279724121,0.0793076828122139,20.2241230010986,0.207794532179832,0.0342189483344555
6374856473883707985,1237667429573394473,AIS,109,109,181.215614079529,26.992842849548,15.9611234664917,0.0187923274934292,16.3571090698242,0.0302675440907478,0.0260717961937189
6375102740866008647,1237651065203130387,AIS,119,119,171.7354040617,63.42515752788,19.4845447540283,0.126542657613754,21.0947933197021,0.321169704198837,0.00928735639899969
6377706413391611470,1237667429554716846,AIS,107.05,107.05,135.818704444762,18.2610445484739,16.8988571166992,0.0273034926503897,17.3049869537354,0.0511433556675911,0.0298351496458054
6374856476031191237,1237667255089299501,AIS,122,122,184.280789930584,30.6436586685792,18.7686424255371,0.0739794597029686,19.4703598022461,0.142626419663429,0.0197893846780062
6377741529044224230,1237667783353499779,AIS,273.1,162.1,141.215306997069,17.2616559832199,17.7092018127441,0.028093121945858,18.0545063018799,0.0596918389201164,0.0296440981328487
